rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
126,Acheroraptor,3148,3148,hard,54,,,,https://images.dinosaurpictures.org/Acheroraptor/Acheroraptor_ef028b8f.jpg
127,Amphicoelias,3123,3123,hard,45,,,,https://images.dinosaurpictures.org/Amphicoelias/Amphicoelias_50e3835b.jpg
128,Stegoceras,3057,3057,hard,964,,,,https://images.dinosaurpictures.org/Stegoceras/Stegoceras_4b4d9e9b.jpg
129,Stegouros,2918,2918,hard,1073,,,,https://images.dinosaurpictures.org/Stegouros/Stegouros_f4845804.jpg
130,Tuojiangosaurus,2892,2892,hard,1020,,,,https://images.dinosaurpictures.org/Tuojiangosaurus/Tuojiangosaurus_b7992e17.jpg
131,Dracovenator,2871,2871,hard,359,,,,https://images.dinosaurpictures.org/Dracovenator/Dracovenator_5b68179c.jpg
132,Scolosaurus,2789,2789,hard,973,,,,https://images.dinosaurpictures.org/Scolosaurus/Scolosaurus_2da7d9ba.jpg
133,Antarctopelta,2734,2734,hard,107,,,,https://images.dinosaurpictures.org/Antarctopelta/Antarctopelta_e63808e2.jpg
134,Barapasaurus,2690,2690,hard,140,,,,https://images.dinosaurpictures.org/Barapasaurus/Barapasaurus_55fead32.jpg
135,Nanosaurus,2658,2658,hard,819,,,,https://images.dinosaurpictures.org/Nanosaurus/Nanosaurus_9015ab06.jpg
136,Eodromaeus,2655,2655,hard,368,,,,https://images.dinosaurpictures.org/Eodromaeus/Eodromaeus_7bc13bc7.jpg
137,Caudipteryx,2649,2649,hard,222,,,,https://images.dinosaurpictures.org/Caudipteryx/Caudipteryx_f841f967.jpg
138,Jakapil,2598,2598,hard,567,,,,https://images.dinosaurpictures.org/Jakapil/Jakapil_b9aecc82.jpg
139,Latenivenatrix,2585,2585,hard,715,,,,https://images.dinosaurpictures.org/Latenivenatrix/Latenivenatrix_7f844ef7.jpg
140,Aardonyx,2572,2572,hard,56,,,,https://images.dinosaurpictures.org/Aardonyx/Aardonyx_5f522676.jpg
141,Ostafrikasaurus,2546,2546,hard,807,,,,https://images.dinosaurpictures.org/Ostafrikasaurus/Ostafrikasaurus_134ddfe5.jpg
142,Epidexipteryx,2536,2536,hard,408,,,,https://images.dinosaurpictures.org/Epidexipteryx/Epidexipteryx_6725bfb8.jpg
143,Rahonavis,2524,2524,hard,873,,,,https://images.dinosaurpictures.org/Rahonavis/Rahonavis_9265e6ad.jpg
